Name,Rating,Number_of_Ratings,Category,Subcategory,Brand,Price,Discount,Image
"Samsung Galaxy S25 Ultra, 512GB Smartphone, Unlocked Android, AI Night Mode Camera, Snapdragon 8 Elite Fast Processor, 5000mAh Battery, Built-in S Pen, 2025, US 1 Yr Warranty, Titanium Black",4.5,2345.0,Cell Phones & Accessories,Cell Phones,Samsung,1169.0,-0.18,https://m.media-amazon.com/images/I/61n0lmxP5-L._AC_SX679_.jpg
"Samsung Galaxy A16 5G A Series, Unlocked Android Smartphone, Large AMOLED Display, Durable Design, Super Fast Charging, Expandable Storage, 5G Connectivity, US Version, 2025, Blue Black",4.2,1789.0,Cell Phones & Accessories,Cell Phones,Samsung,198.0,,https://m.media-amazon.com/images/I/71KGkQ+KOKL._AC_SX679_.jpg
"SAMSUNG Galaxy S24 FE AI Phone, 128GB Unlocked Android Smartphone, High-Res 50MP Camera, Long Battery Life, AMOLED Bright Display, US Version, 2024, US 1 Yr Warranty, Graphite",4.5,1381.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,1069.0,,https://m.media-amazon.com/images/I/61uakkLoHxL._AC_SX679_.jpg
Motorola Moto G 5G | 2024 | Unlocked | Made for US 4/128GB | 50MP Camera | Sage Green,4.2,2996.0,Cell Phones & Accessories,Cell Phones,Motorola,139.0,-0.3,https://m.media-amazon.com/images/I/61TTdTnaEeL._AC_SX679_.jpg
"Tracfone Moto G Play (2023) [Activation Promotion], 32GB, Blue, Includes 1500Min/1500Txt/1500MB, 365 Days Service Plan - Prepaid Smartphone",4.3,1271.0,Cell Phones & Accessories,Cell Phones,TracFone,49.0,,https://m.media-amazon.com/images/I/61Ydn7qAodL._AC_SY679_.jpg
Motorola Moto G Stylus 5G | 2024 | Unlocked | Made for US 8/256GB | 50MP Camera | Caramel Latte,4.5,974.0,Cell Phones & Accessories,Cell Phones,Motorola,249.0,-0.38,https://m.media-amazon.com/images/I/61LE9-6KxdL._AC_SX679_.jpg
"OnePlus 13R, 12GB RAM + 256GB Storage, Dual-SIM, Unlocked Android Smartphone, Powered by Snapdragon 8 Gen 3, 55W SUPERVOOC Fast Charging, 2025, Nebula Noir",4.6,141.0,Cell Phones & Accessories,Cell Phones,OnePlus,719.0,,https://m.media-amazon.com/images/I/71lmumt9z8L._AC_SX679_.jpg
"SAMSUNG Galaxy S22 Ultra 5G, US Version, 512GB, Phantom Black - Unlocked (Renewed)",3.7,5259.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,1169.0,,https://m.media-amazon.com/images/I/61U6oC65TTL._AC_SX679_.jpg
"Apple iPhone 12, 64GB, Blue - Unlocked (Renewed)",4.0,31272.0,Cell Phones & Accessories,Cell Phones,Apple,798.0,,https://m.media-amazon.com/images/I/51ERFKUcVlL._AC_SX679_.jpg
"Samsung Galaxy A16 4G LTE (128GB + 4GB) International Model SM-A165F/DS Factory Unlocked, 6.7"", Dual SIM, 50MP Triple Camera (Case Bundle), Black",4.0,1388.0,Cell Phones & Accessories,Cell Phones,Samsung,130.0,,https://m.media-amazon.com/images/I/61Lp1UcxeLL._AC_SX679_.jpg
"Samsung Galaxy S22 Smartphone, Factory Unlocked Android Cell Phone, 128GB, 8K Camera & Video, Brightest Display, Long Battery Life, Fast 4nm Processor, US Version, Phantom Black (Renewed)",3.9,3172.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,219.0,,https://m.media-amazon.com/images/I/61M4ndNetDL._AC_SX679_.jpg
"Apple iPhone 14 Plus, 128GB, Midnight - Unlocked (Renewed)",4.1,2936.0,Cell Phones & Accessories,Cell Phones,Apple,56.0,,https://m.media-amazon.com/images/I/513-nH35+UL._AC_SX679_.jpg
"Samsung Galaxy S21 5G, US Version, 128GB, Phantom Gray - Unlocked (Renewed)",4.0,13301.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,134.0,,https://m.media-amazon.com/images/I/61XyNdmvr6L._AC_SX522_.jpg
Samsung Galaxy S22+ 5G S906U 128GB GSM/CDMA Unlocked Android Smartphone (USA Version) - Phantom Black (Renewed),4.2,1798.0,Cell Phones & Accessories,Cell Phones,SAMSUNG,259.0,,https://m.media-amazon.com/images/I/61R5xNY4ZWL._AC_SX569_.jpg
"TracFone Motorola Moto g 5G (2024) [Activation Promotion] Locked Prepaid Smartphone, 128GB, Gray - Includes $20 Unlimited Talk, Text, & 4GB Data 30-Day Plan",4.2,101.0,Cell Phones & Accessories,Cell Phones,TracFone,49.0,,https://m.media-amazon.com/images/I/61NIBABW1rL._AC_SY679_.jpg
"8849 Tank 2 Pro Rugged Smartphone Unlocked, 24+512GB/1TB Android 14 Rugged Cell Phone with Projector, 6.79’’ 4G Waterproof Mobile Phones 23800mAh, Fingerprint/Dual Sim/OTG/GPS/Face ID",4.2,70.0,Cell Phones & Accessories,Cell Phones,8849,449.0,,https://m.media-amazon.com/images/I/71BOkn2sodL._AC_SX569_.jpg
